==10125== NVPROF is profiling process 10125, command: ../bin/gpu
==10125== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==10125== Profiling application: ../bin/gpu
==10125== Profiling result:
==10125== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: abc_algo(abc_info_s)
          1                             sm_efficiency                                               Multiprocessor Activity      99.28%      99.28%      99.28%
          1                        achieved_occupancy                                                    Achieved Occupancy    0.101694    0.101694    0.101694
          1                                       ipc                                                          Executed IPC    0.664718    0.664718    0.664718
          1                                issued_ipc                                                            Issued IPC    0.671744    0.671744    0.671744
          1                             inst_per_warp                                                 Instructions per warp  1.9044e+04  1.9044e+04  1.9044e+04
          1                         branch_efficiency                                                     Branch Efficiency      86.13%      86.13%      86.13%
          1                 warp_execution_efficiency                                             Warp Execution Efficiency      63.52%      63.52%      63.52%
          1         warp_nonpred_execution_efficiency                              Warp Non-Predicated Execution Efficiency      38.13%      38.13%      38.13%
          1                      inst_replay_overhead                                           Instruction Replay Overhead    0.000407    0.000407    0.000407
          1                    issue_slot_utilization                                                Issue Slot Utilization      11.35%      11.35%      11.35%
          1      shared_load_transactions_per_request                           Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request                          Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request                            Local Memory Load Transactions Per Request   13.333333   13.333333   13.333333
          1      local_store_transactions_per_request                           Local Memory Store Transactions Per Request    7.356322    7.356322    7.356322
          1              gst_transactions_per_request                                 Global Store Transactions Per Request   32.000000   32.000000   32.000000
          1                 shared_store_transactions                                             Shared Store Transactions           0           0           0
          1                  shared_load_transactions                                              Shared Load Transactions           0           0           0
          1                   local_load_transactions                                               Local Load Transactions         320         320         320
          1                  local_store_transactions                                              Local Store Transactions        1280        1280        1280
          1                          gst_transactions                                             Global Store Transactions        2304        2304        2304
          1                           global_hit_rate                                     Global Hit Rate in unified l1/tex       0.00%       0.00%       0.00%
          1                            local_hit_rate                                                        Local Hit Rate      50.00%      50.00%      50.00%
          1                  gld_requested_throughput                                      Requested Global Load Throughput  560.72MB/s  560.72MB/s  560.72MB/s
          1                  gst_requested_throughput                                     Requested Global Store Throughput  45.971MB/s  45.971MB/s  45.971MB/s
          1                            gld_throughput                                                Global Load Throughput  4.3806GB/s  4.3806GB/s  4.3806GB/s
          1                            gst_throughput                                               Global Store Throughput  206.87MB/s  206.87MB/s  206.87MB/s
          1                      tex_cache_throughput                                              Unified Cache Throughput  15.356GB/s  15.356GB/s  15.356GB/s
          1                     local_load_throughput                                          Local Memory Load Throughput  28.732MB/s  28.732MB/s  28.732MB/s
          1                    local_store_throughput                                         Local Memory Store Throughput  114.93MB/s  114.93MB/s  114.93MB/s
          1                    shared_load_throughput                                         Shared Memory Load Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   shared_store_throughput                                        Shared Memory Store Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                            gld_efficiency                                         Global Memory Load Efficiency      12.50%      12.50%      12.50%
          1                            gst_efficiency                                        Global Memory Store Efficiency      22.22%      22.22%      22.22%
          1                    tex_cache_transactions                                            Unified Cache Transactions      175135      175135      175135
          1                         cf_fu_utilization                                Control-Flow Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                        tex_fu_utilization                                     Texture Function Unit Utilization     Mid (4)     Mid (4)     Mid (4)
          1                       ldst_fu_utilization                                  Load/Store Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1           double_precision_fu_utilization                            Double-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                    special_fu_utilization                                     Special Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1           single_precision_fu_utilization                            Single-Precision Function Unit Utilization     Low (1)     Low (1)     Low (1)
          1                             flop_count_dp                           Floating Point Operations(Double Precision)           0           0           0
          1                         flop_count_dp_add                       Floating Point Operations(Double Precision Add)           0           0           0
          1                         flop_count_dp_fma                       Floating Point Operations(Double Precision FMA)           0           0           0
          1                         flop_count_dp_mul                       Floating Point Operations(Double Precision Mul)           0           0           0
          1                             flop_count_sp                           Floating Point Operations(Single Precision)           0           0           0
          1                         flop_count_sp_add                       Floating Point Operations(Single Precision Add)           0           0           0
          1                         flop_count_sp_fma                       Floating Point Operations(Single Precision FMA)           0           0           0
          1                         flop_count_sp_mul                        Floating Point Operation(Single Precision Mul)           0           0           0
          1                     flop_count_sp_special                   Floating Point Operations(Single Precision Special)           0           0           0
          1                             inst_executed                                                 Instructions Executed      152354      152354      152354
          1                               inst_issued                                                   Instructions Issued      152416      152416      152416
          1                           tex_utilization                                             Unified Cache Utilization     Mid (4)     Mid (4)     Mid (4)
          1                         shared_efficiency                                              Shared Memory Efficiency       0.00%       0.00%       0.00%
          1                        shared_utilization                                             Shared Memory Utilization    Idle (0)    Idle (0)    Idle (0)
          1                                inst_fp_32                                               FP Instructions(Single)           0           0           0
          1                                inst_fp_64                                               FP Instructions(Double)           0           0           0
          1                              inst_integer                                                  Integer Instructions      829423      829423      829423
          1                          inst_bit_convert                                              Bit-Convert Instructions           0           0           0
          1                              inst_control                                             Control-Flow Instructions        6658        6658        6658
          1                        inst_compute_ld_st                                               Load/Store Instructions      616595      616595      616595
          1                                 inst_misc                                                     Misc Instructions      406267      406267      406267
          1           inst_inter_thread_communication                                             Inter-Thread Instructions           0           0           0
          1                               issue_slots                                                           Issue Slots      103045      103045      103045
          1                                 cf_issued                                      Issued Control-Flow Instructions         358         358         358
          1                               cf_executed                                    Executed Control-Flow Instructions         358         358         358
          1                               ldst_issued                                        Issued Load/Store Instructions      176959      176959      176959
          1                             ldst_executed                                      Executed Load/Store Instructions       61102       61102       61102
          1                       atomic_transactions                                                   Atomic Transactions           0           0           0
          1           atomic_transactions_per_request                                       Atomic Transactions Per Request    0.000000    0.000000    0.000000
          1                inst_executed_global_loads                              Warp level instructions for global loads       60800       60800       60800
          1                 inst_executed_local_loads                               Warp level instructions for local loads          24          24          24
          1                inst_executed_shared_loads                              Warp level instructions for shared loads           0           0           0
          1               inst_executed_surface_loads                             Warp level instructions for surface loads           0           0           0
