==3470== NVPROF is profiling process 3470, command: ./../bin/gpu
==3470== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==3470== Profiling application: ./../bin/gpu
==3470== Profiling result:
==3470== Metric result:
Invocations                               Metric Name                                                    Metric Description         Min         Max         Avg
Device "NVIDIA Tegra X1 (0)"
    Kernel: abc_algo(abc_info_s)
          1                     local_memory_overhead                                                 Local Memory Overhead      84.58%      84.58%      84.58%
          1                        tex_cache_hit_rate                                                Unified Cache Hit Rate      48.04%      48.04%      48.04%
          1                    l2_tex_read_throughput                                         L2 Throughput (Texture Reads)  87.936MB/s  87.936MB/s  87.936MB/s
          1                   l2_tex_write_throughput                                        L2 Throughput (Texture Writes)  56.028MB/s  56.028MB/s  56.028MB/s
          1                  l2_tex_read_transactions                                       L2 Transactions (Texture Reads)       20876       20876       20876
          1                 l2_tex_write_transactions                                      L2 Transactions (Texture Writes)       13301       13301       13301
          1                        l2_read_throughput                                                 L2 Throughput (Reads)  200.94MB/s  200.94MB/s  200.94MB/s
          1                       l2_write_throughput                                                L2 Throughput (Writes)  56.125MB/s  56.125MB/s  56.125MB/s
          1                    sysmem_read_throughput                                         System Memory Read Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                   sysmem_write_throughput                                        System Memory Write Throughput  0.00000B/s  0.00000B/s  0.00000B/s
          1                      l2_atomic_throughput                                       L2 Throughput (Atomic requests)  0.00000B/s  0.00000B/s  0.00000B/s
          1                    l2_atomic_transactions                                     L2 Transactions (Atomic requests)           0           0           0
          1                         sysmem_read_bytes                                              System Memory Read Bytes           0           0           0
          1                        sysmem_write_bytes                                             System Memory Write Bytes           0           0           0
          1                          gld_transactions                                              Global Load Transactions       55738       55738       55738
          1              gld_transactions_per_request                                  Global Load Transactions Per Request   13.096335   13.096335   13.096335
          1                            l2_utilization                                                  L2 Cache Utilization     Low (1)     Low (1)     Low (1)
          1                          dram_utilization                                             Device Memory Utilization     Mid (5)     Mid (5)     Mid (5)
          1                             flop_count_hp                             Floating Point Operations(Half Precision)           0           0           0
          1                         flop_count_hp_add                         Floating Point Operations(Half Precision Add)           0           0           0
          1                         flop_count_hp_fma                         Floating Point Operations(Half Precision FMA)           0           0           0
          1                         flop_count_hp_mul                          Floating Point Operation(Half Precision Mul)           0           0           0
          1                        flop_hp_efficiency                                            FLOP Efficiency(Peak Half)       0.00%       0.00%       0.00%
          1                                inst_fp_16                                                 HP Instructions(Half)           0           0           0
          1             half_precision_fu_utilization                              Half-Precision Function Unit Utilization    Idle (0)    Idle (0)    Idle (0)
          1                  eligible_warps_per_cycle                                       Eligible Warps Per Active Cycle    0.047651    0.047651    0.047651
          1                        flop_sp_efficiency                                          FLOP Efficiency(Peak Single)       0.00%       0.00%       0.00%
          1                        flop_dp_efficiency                                          FLOP Efficiency(Peak Double)       0.00%       0.00%       0.00%
